PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
91005,13/04/2012,KBE,39147,22.73000,6009300,-0.030910,-0.012396,-0.012475
91005,16/04/2012,KBE,39147,22.94000,3344700,0.009239,-0.000582,-0.000504
91005,17/04/2012,KBE,39147,23.37000,3259300,0.018745,0.014951,0.015487
91005,18/04/2012,KBE,39147,23.13000,2027000,-0.010270,-0.004040,-0.004055
91005,19/04/2012,KBE,39147,22.99000,3029100,-0.006053,-0.004662,-0.005934
91005,20/04/2012,KBE,39147,22.98000,2394600,-0.000435,0.001632,0.001169
91005,23/04/2012,KBE,39147,22.84000,2127700,-0.006092,-0.009542,-0.008408
91005,24/04/2012,KBE,39147,23.06000,2097600,0.009632,0.003247,0.003680
91005,25/04/2012,KBE,39147,23.34000,2848500,0.012142,0.013825,0.013645
91005,26/04/2012,KBE,39147,23.53000,1934000,0.008141,0.006830,0.006680
91005,27/04/2012,KBE,39147,23.58000,2015300,0.002125,0.003897,0.002414
91005,30/04/2012,KBE,39147,23.25000,3296800,-0.013995,-0.004314,-0.003884
91005,01/05/2012,KBE,39147,23.46000,1769900,0.009032,0.004876,0.005658
91005,02/05/2012,KBE,39147,23.35000,1931500,-0.004689,-0.002050,-0.002497
91005,03/05/2012,KBE,39147,23.21000,1596400,-0.005996,-0.009948,-0.007659
91005,04/05/2012,KBE,39147,22.84000,2757800,-0.015941,-0.015675,-0.016147
91005,07/05/2012,KBE,39147,23.06000,1567700,0.009632,0.000555,0.000351
91005,08/05/2012,KBE,39147,22.96000,2812700,-0.004337,-0.005355,-0.004279
91005,09/05/2012,KBE,39147,22.67000,4013900,-0.012631,-0.006018,-0.006702
91005,10/05/2012,KBE,39147,22.87000,3042500,0.008822,0.002858,0.002517
91005,11/05/2012,KBE,39147,22.75000,2905500,-0.005247,-0.002767,-0.003387
91005,14/05/2012,KBE,39147,22.28000,2552800,-0.020659,-0.012174,-0.011113
91005,15/05/2012,KBE,39147,22.03000,7798300,-0.011221,-0.006030,-0.005746
